strategy,lambda,energy
temporal_aggregation,8.5,715.75
temporal_aggregation,8.6,750.9000000000001
temporal_aggregation,8.7,764.23
temporal_aggregation,8.8,795.13
temporal_aggregation,8.9,738.94
temporal_aggregation,9.0,745.96
temporal_aggregation,9.1,763.53
temporal_aggregation,9.2,760.9300000000001
temporal_aggregation,9.3,789.26
temporal_aggregation,9.4,790.21
temporal_aggregation,9.5,848.86
temporal_aggregation,9.6,808.91
temporal_aggregation,9.7,854.77
temporal_aggregation,9.8,852.5600000000001
temporal_aggregation,9.9,794.96
temporal_aggregation,10.0,849.8100000000001
threshold,0.1,18.560000000000002
threshold,0.2,28.060000000000002
threshold,0.3,31.73
threshold,0.4,67.73
threshold,0.5,73.2
threshold,0.6,107.66
threshold,0.7,97.78999999999999
threshold,0.8,113.11
threshold,0.9,136.17000000000002
threshold,1.0,134.97
threshold,1.1,148.34
threshold,1.2,172.5
threshold,1.3,232.71
threshold,1.4,194.79
threshold,1.5,230.59
threshold,1.6,261.03
threshold,1.7,277.65
threshold,1.8,265.87
threshold,1.9,307.87
threshold,2.0,296.40999999999997
threshold,2.1,318.04
threshold,2.2,301.11
threshold,2.3,336.73
threshold,2.4,406.76
threshold,2.5,361.69
threshold,2.6,372.01
threshold,2.7,357.73
threshold,2.8,436.2
threshold,2.9,441.74
threshold,3.0,412.02
threshold,3.1,436.52
threshold,3.2,473.69
threshold,3.3,502.22
threshold,3.4,444.09000000000003
threshold,3.5,473.65
threshold,3.6,494.84000000000003
threshold,3.7,511.73
threshold,3.8,560.1700000000001
threshold,3.9,462.15999999999997
threshold,4.0,552.26
threshold,4.1,594.24
threshold,4.2,655.8
threshold,4.3,560.1700000000001
threshold,4.4,609.06
threshold,4.5,658.74
threshold,4.6,706.13
threshold,4.7,704.62
threshold,4.8,659.15
threshold,4.9,685.5699999999999
threshold,5.0,683.87
threshold,5.1,749.4300000000001
threshold,5.2,788.3
threshold,5.3,787.11
threshold,5.4,751.4200000000001
threshold,5.5,776.94
threshold,5.6,810.06
threshold,5.7,693.45
threshold,5.8,805.09
threshold,5.9,773.47
threshold,6.0,770.01
threshold,6.1,874.6
threshold,6.2,800.12
threshold,6.3,786.48
threshold,6.4,883.33
threshold,6.5,982.2
threshold,6.6,961.6800000000001
threshold,6.7,983.95
threshold,6.8,960.05
threshold,6.9,1054.6100000000001
threshold,7.0,990.59
threshold,7.1,1066.83
threshold,7.2,1059.56
threshold,7.3,1037.51
threshold,7.4,1033.19
threshold,7.5,1120.6100000000001
threshold,7.6,1018.11
threshold,7.7,1126.08
threshold,7.8,1073.19
threshold,7.9,1069.5900000000001
threshold,8.0,1038.91
threshold,8.1,1136.78
threshold,8.2,1162.43
threshold,8.3,1241.5900000000001
threshold,8.4,1171.43
threshold,8.5,1319.1399999999999
threshold,8.6,1301.49
threshold,8.7,1229.3400000000001
threshold,8.8,1213.21
threshold,8.9,1258.97
threshold,9.0,1210.96
threshold,9.1,1244.97
threshold,9.2,1307.5
threshold,9.3,1439.63
threshold,9.4,1400.68
threshold,9.5,1288.08
threshold,9.6,1453.77
threshold,9.7,1262.57
threshold,9.8,1462.21
threshold,9.9,1407.85
threshold,10.0,1397.8600000000001
